Generated by Rfunction:  Get.alv.mw41.edt.func2 
============> Radisonde_info:
RS_type:        RS92
RS_config:      2.02
RS_serialnum:   G3043154
RS_freq:        405.3
RS__windtype:   ccGPS
=============> Station_info:
Station:        ALVICE_RS92SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       53
SW version:     MW41 2.2.0
Start time:     2020-01-23 06:46:40
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	        xx         NA
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
  77.45  -9999.    272.18 4.67e+01      2.79     -0.33        518.3    965.36    262.22 1.72e+00     173.24      2.81  -9999.  -9999.  -9999.   -76.8748    39.0584  -9999.  -9999.  -9999.
  78.45  -9999.    272.15 4.66e+01      2.81     -0.33        524.5    964.61    262.16 1.71e+00     173.22      2.83  -9999.  -9999.  -9999.   -76.8748    39.0584  -9999.  -9999.  -9999.
  79.45  -9999.    272.10 4.66e+01      2.83     -0.33        531.1    963.81    262.11 1.71e+00     173.29      2.84  -9999.  -9999.  -9999.   -76.8749    39.0584  -9999.  -9999.  -9999.
  80.45  -9999.    272.06 4.66e+01      2.85     -0.33        537.7    963.02    262.06 1.70e+00     173.46      2.86  -9999.  -9999.  -9999.   -76.8749    39.0585  -9999.  -9999.  -9999.
  81.45  -9999.    272.02 4.65e+01      2.87     -0.32        543.8    962.27    262.01 1.70e+00     173.72      2.88  -9999.  -9999.  -9999.   -76.8748    39.0585  -9999.  -9999.  -9999.
  82.45  -9999.    271.98 4.64e+01      2.89     -0.30        549.6    961.58    261.96 1.69e+00     174.07      2.90  -9999.  -9999.  -9999.   -76.8748    39.0585  -9999.  -9999.  -9999.
  83.45  -9999.    271.96 4.63e+01      2.91     -0.28        555.2    960.90    261.89 1.68e+00     174.52      2.92  -9999.  -9999.  -9999.   -76.8748    39.0585  -9999.  -9999.  -9999.
  84.45  -9999.    271.93 4.62e+01      2.93     -0.25        561.1    960.19    261.84 1.68e+00     175.05      2.94  -9999.  -9999.  -9999.   -76.8748    39.0585  -9999.  -9999.  -9999.
  85.45  -9999.    271.92 4.62e+01      2.95     -0.22        567.3    959.44    261.82 1.67e+00     175.66      2.96  -9999.  -9999.  -9999.   -76.8748    39.0585  -9999.  -9999.  -9999.
  86.45  -9999.    271.90 4.64e+01      2.97     -0.19        573.7    958.67    261.87 1.68e+00     176.33      2.98  -9999.  -9999.  -9999.   -76.8748    39.0586  -9999.  -9999.  -9999.
