Generated by Rfunction:  Get.alv.mw41.edt.func2 
============> Radisonde_info:
RS_type:        RS92
RS_config:      2.02
RS_serialnum:   G3043154
RS_freq:        405.3
RS__windtype:   ccGPS
=============> Station_info:
Station:        ALVICE_RS92SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       53
SW version:     MW41 2.2.0
Start time:     2020-01-23 06:46:40
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	        xx         NA
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
5044.62  -9999.    220.42 1.00e+00     -8.57      7.86      31036.6      9.46    187.46 2.99e-02     317.48     11.63  -9999.  -9999.  -9999.   -76.3802    38.9667  -9999.  -9999.  -9999.
5045.62  -9999.    220.45 1.00e+00     -8.88      7.93      31045.7      9.45    187.48 3.00e-02     318.23     11.91  -9999.  -9999.  -9999.   -76.3801    38.9666  -9999.  -9999.  -9999.
5046.62  -9999.    220.48 1.00e+00     -9.19      8.00      31053.8      9.43    187.50 3.01e-02     318.97     12.18  -9999.  -9999.  -9999.   -76.3800    38.9665  -9999.  -9999.  -9999.
5047.62  -9999.    220.48 1.00e+00     -9.50      8.06      31060.2      9.42    187.49 3.02e-02     319.70     12.46  -9999.  -9999.  -9999.   -76.3798    38.9664  -9999.  -9999.  -9999.
5048.62  -9999.    220.44 1.00e+00     -9.81      8.11      31065.9      9.42    187.47 3.01e-02     320.41     12.73  -9999.  -9999.  -9999.   -76.3797    38.9663  -9999.  -9999.  -9999.
5049.62  -9999.    220.40 1.00e+00    -10.11      8.16      31071.7      9.41    187.44 2.99e-02     321.11     12.99  -9999.  -9999.  -9999.   -76.3795    38.9662  -9999.  -9999.  -9999.
5050.62  -9999.    220.35 1.00e+00    -10.41      8.20      31077.7      9.40    187.41 2.98e-02     321.78     13.25  -9999.  -9999.  -9999.   -76.3794    38.9661  -9999.  -9999.  -9999.
5051.62  -9999.    220.32 1.00e+00    -10.70      8.23      31084.8      9.39    187.39 2.97e-02     322.41     13.50  -9999.  -9999.  -9999.   -76.3794    38.9660  -9999.  -9999.  -9999.
5052.62  -9999.    220.33 1.00e+00    -10.97      8.27      31094.1      9.37    187.39 2.98e-02     323.00     13.74  -9999.  -9999.  -9999.   -76.3793    38.9659  -9999.  -9999.  -9999.
5053.62  -9999.    220.39 1.00e+00    -11.24      8.30      31104.4      9.36    187.44 3.01e-02     323.56     13.97  -9999.  -9999.  -9999.   -76.3792    38.9659  -9999.  -9999.  -9999.
5054.62  -9999.    220.47 1.00e+00    -11.51      8.33      31112.4      9.35    187.49 3.04e-02     324.09     14.21  -9999.  -9999.  -9999.   -76.3791    38.9658  -9999.  -9999.  -9999.
5055.62  -9999.    220.51 1.00e+00    -11.76      8.36      31118.2      9.34    187.52 3.06e-02     324.60     14.43  -9999.  -9999.  -9999.   -76.3790    38.9657  -9999.  -9999.  -9999.
5056.62  -9999.    220.53 1.00e+00    -12.02      8.38      31123.9      9.33    187.53 3.07e-02     325.11     14.65  -9999.  -9999.  -9999.   -76.3788    38.9656  -9999.  -9999.  -9999.
5057.62  -9999.    220.52 1.00e+00    -12.27      8.40      31131.1      9.32    187.52 3.06e-02     325.60     14.87  -9999.  -9999.  -9999.   -76.3787    38.9654  -9999.  -9999.  -9999.
5058.62  -9999.    220.48 1.00e+00    -12.51      8.41      31140.8      9.31    187.50 3.06e-02     326.08     15.08  -9999.  -9999.  -9999.   -76.3786    38.9653  -9999.  -9999.  -9999.
5059.62  -9999.    220.44 1.00e+00    -12.74      8.42      31150.7      9.29    187.47 3.05e-02     326.53     15.27  -9999.  -9999.  -9999.   -76.3785    38.9652  -9999.  -9999.  -9999.
5060.62  -9999.    220.39 1.00e+00    -12.96      8.43      31160.0      9.28    187.46 3.04e-02     326.96     15.47  -9999.  -9999.  -9999.   -76.3784    38.9650  -9999.  -9999.  -9999.
5061.62  -9999.    220.35 1.01e+00    -13.18      8.44      31169.5      9.27    187.47 3.05e-02     327.35     15.65  -9999.  -9999.  -9999.   -76.3784    38.9649  -9999.  -9999.  -9999.
5062.62  -9999.    220.30 1.02e+00    -13.38      8.46      31179.1      9.25    187.49 3.07e-02     327.71     15.83  -9999.  -9999.  -9999.   -76.3783    38.9648  -9999.  -9999.  -9999.
5063.62  -9999.    220.24 1.03e+00    -13.58      8.47      31188.7      9.24    187.50 3.08e-02     328.04     16.01  -9999.  -9999.  -9999.   -76.3783    38.9647  -9999.  -9999.  -9999.
5064.62  -9999.    220.17 1.03e+00    -13.77      8.49      31196.6      9.23    187.48 3.07e-02     328.34     16.18  -9999.  -9999.  -9999.   -76.3782    38.9646  -9999.  -9999.  -9999.
5065.62  -9999.    220.12 1.03e+00    -13.96      8.51      31202.8      9.22    187.44 3.05e-02     328.62     16.35  -9999.  -9999.  -9999.   -76.3781    38.9645  -9999.  -9999.  -9999.
5066.62  -9999.    220.09 1.03e+00    -14.14      8.53      31209.0      9.21    187.41 3.04e-02     328.88     16.51  -9999.  -9999.  -9999.   -76.3779    38.9643  -9999.  -9999.  -9999.
5067.62  -9999.    220.08 1.03e+00    -14.31      8.56      31215.3      9.20    187.41 3.04e-02     329.13     16.67  -9999.  -9999.  -9999.   -76.3778    38.9641  -9999.  -9999.  -9999.
5068.62  -9999.    220.07 1.03e+00    -14.47      8.58      31221.7      9.19    187.41 3.05e-02     329.34     16.83  -9999.  -9999.  -9999.   -76.3777    38.9639  -9999.  -9999.  -9999.
5069.62  -9999.    220.03 1.04e+00    -14.63      8.61      31228.0      9.18    187.39 3.04e-02     329.53     16.97  -9999.  -9999.  -9999.   -76.3776    38.9638  -9999.  -9999.  -9999.
5070.62  -9999.    219.98 1.04e+00    -14.78      8.64      31235.3      9.17    187.37 3.04e-02     329.70     17.12  -9999.  -9999.  -9999.   -76.3775    38.9637  -9999.  -9999.  -9999.
5071.62  -9999.    219.93 1.04e+00    -14.92      8.67      31243.7      9.16    187.36 3.03e-02     329.83     17.26  -9999.  -9999.  -9999.   -76.3775    38.9636  -9999.  -9999.  -9999.
5072.62  -9999.    219.90 1.05e+00    -15.06      8.72      31252.9      9.15    187.36 3.04e-02     329.93     17.40  -9999.  -9999.  -9999.   -76.3774    38.9635  -9999.  -9999.  -9999.
5073.62  -9999.    219.89 1.05e+00    -15.19      8.77      31262.4      9.13    187.35 3.04e-02     330.01     17.53  -9999.  -9999.  -9999.   -76.3773    38.9634  -9999.  -9999.  -9999.
5074.62  -9999.    219.88 1.05e+00    -15.31      8.82      31271.9      9.12    187.34 3.03e-02     330.06     17.67  -9999.  -9999.  -9999.   -76.3772    38.9633  -9999.  -9999.  -9999.
5075.62  -9999.    219.86 1.04e+00    -15.43      8.87      31281.3      9.11    187.31 3.03e-02     330.10     17.80  -9999.  -9999.  -9999.   -76.3771    38.9632  -9999.  -9999.  -9999.
5076.62  -9999.    219.83 1.04e+00    -15.54      8.93      31290.6      9.09    187.28 3.01e-02     330.12     17.92  -9999.  -9999.  -9999.   -76.3769    38.9630  -9999.  -9999.  -9999.
5077.62  -9999.    219.80 1.04e+00    -15.65      8.99      31298.7      9.08    187.23 2.99e-02     330.13     18.05  -9999.  -9999.  -9999.   -76.3768    38.9628  -9999.  -9999.  -9999.
5078.62  -9999.    219.75 1.03e+00    -15.75      9.05      31305.3      9.07    187.16 2.96e-02     330.12     18.16  -9999.  -9999.  -9999.   -76.3768    38.9626  -9999.  -9999.  -9999.
5079.62  -9999.    219.69 1.02e+00    -15.84      9.11      31311.5      9.06    187.07 2.92e-02     330.09     18.28  -9999.  -9999.  -9999.   -76.3767    38.9624  -9999.  -9999.  -9999.
5080.62  -9999.    219.63 1.01e+00    -15.93      9.18      31318.6      9.05    186.96 2.87e-02     330.05     18.39  -9999.  -9999.  -9999.   -76.3766    38.9622  -9999.  -9999.  -9999.
5081.62  -9999.    219.57 1.00e+00    -16.01      9.24      31327.5      9.04    186.86 2.82e-02     330.01     18.49  -9999.  -9999.  -9999.   -76.3765    38.9621  -9999.  -9999.  -9999.
5082.62  -9999.    219.53 1.00e+00    -16.09      9.31      31337.1      9.03    186.83 2.81e-02     329.96     18.59  -9999.  -9999.  -9999.   -76.3764    38.9621  -9999.  -9999.  -9999.
5083.62  -9999.    219.50 1.00e+00    -16.16      9.36      31346.7      9.01    186.81 2.81e-02     329.92     18.68  -9999.  -9999.  -9999.   -76.3763    38.9620  -9999.  -9999.  -9999.
5084.62  -9999.    219.50 1.00e+00    -16.23      9.42      31355.5      9.00    186.81 2.81e-02     329.88     18.76  -9999.  -9999.  -9999.   -76.3761    38.9619  -9999.  -9999.  -9999.
5085.62  -9999.    219.54 1.00e+00    -16.28      9.46      31363.1      8.99    186.84 2.83e-02     329.84     18.83  -9999.  -9999.  -9999.   -76.3759    38.9617  -9999.  -9999.  -9999.
5086.62  -9999.    219.64 1.00e+00    -16.33      9.50      31370.7      8.98    186.91 2.87e-02     329.81     18.89  -9999.  -9999.  -9999.   -76.3758    38.9616  -9999.  -9999.  -9999.
5087.62  -9999.    219.79 1.00e+00    -16.37      9.53      31376.9      8.97    187.01 2.92e-02     329.79     18.94  -9999.  -9999.  -9999.   -76.3757    38.9614  -9999.  -9999.  -9999.
5088.62  -9999.    220.01 1.00e+00    -16.40      9.55      31383.2      8.96    187.17 3.00e-02     329.78     18.97  -9999.  -9999.  -9999.   -76.3757    38.9611  -9999.  -9999.  -9999.
5089.62  -9999.    220.23 1.00e+00    -16.42      9.56      31388.2      8.96    187.32 3.08e-02     329.79     19.00  -9999.  -9999.  -9999.   -76.3756    38.9609  -9999.  -9999.  -9999.
5090.62  -9999.    220.44 1.00e+00    -16.45      9.57      31393.2      8.95    187.47 3.16e-02     329.81     19.03  -9999.  -9999.  -9999.   -76.3756    38.9607  -9999.  -9999.  -9999.
5091.62  -9999.    220.56 1.00e+00    -16.47      9.57      31397.5      8.94    187.55 3.21e-02     329.85     19.05  -9999.  -9999.  -9999.   -76.3755    38.9606  -9999.  -9999.  -9999.
5092.62  -9999.    220.61 1.00e+00    -16.49      9.55      31401.8      8.94    187.59 3.23e-02     329.91     19.06  -9999.  -9999.  -9999.   -76.3754    38.9604  -9999.  -9999.  -9999.
5093.62  -9999.    220.64 1.00e+00    -16.50      9.53      31405.8      8.93    187.61 3.24e-02     330.00     19.06  -9999.  -9999.  -9999.   -76.3753    38.9603  -9999.  -9999.  -9999.
5094.62  -9999.    220.65 1.00e+00    -16.51      9.49      31409.9      8.93    187.62 3.25e-02     330.11     19.05  -9999.  -9999.  -9999.   -76.3751    38.9601  -9999.  -9999.  -9999.
5095.62  -9999.    220.66 1.00e+00    -16.51      9.44      31414.3      8.92    187.63 3.26e-02     330.24     19.02  -9999.  -9999.  -9999.   -76.3749    38.9600  -9999.  -9999.  -9999.
5096.62  -9999.    220.66 1.00e+00    -16.51      9.38      31420.3      8.91    187.62 3.26e-02     330.40     18.98  -9999.  -9999.  -9999.   -76.3748    38.9598  -9999.  -9999.  -9999.
5097.62  -9999.    220.64 1.00e+00    -16.50      9.31      31428.1      8.90    187.61 3.26e-02     330.58     18.94  -9999.  -9999.  -9999.   -76.3747    38.9596  -9999.  -9999.  -9999.
5098.62  -9999.    220.63 1.00e+00    -16.49      9.23      31435.8      8.89    187.60 3.25e-02     330.77     18.89  -9999.  -9999.  -9999.   -76.3746    38.9594  -9999.  -9999.  -9999.
5099.62  -9999.    220.61 1.00e+00    -16.47      9.14      31444.2      8.88    187.59 3.25e-02     330.97     18.84  -9999.  -9999.  -9999.   -76.3745    38.9592  -9999.  -9999.  -9999.
5100.62  -9999.    220.59 1.00e+00    -16.46      9.05      31452.0      8.87    187.58 3.25e-02     331.19     18.78  -9999.  -9999.  -9999.   -76.3744    38.9590  -9999.  -9999.  -9999.
5101.62  -9999.    220.55 1.00e+00    -16.43      8.95      31457.7      8.86    187.55 3.24e-02     331.43     18.71  -9999.  -9999.  -9999.   -76.3744    38.9589  -9999.  -9999.  -9999.
5102.62  -9999.    220.51 1.00e+00    -16.41      8.84      31462.2      8.85    187.52 3.22e-02     331.68     18.64  -9999.  -9999.  -9999.   -76.3743    38.9587  -9999.  -9999.  -9999.
5103.62  -9999.    220.48 1.00e+00    -16.38      8.73      31466.6      8.85    187.49 3.21e-02     331.94     18.56  -9999.  -9999.  -9999.   -76.3743    38.9585  -9999.  -9999.  -9999.
5104.62  -9999.    220.45 1.00e+00    -16.35      8.61      31471.8      8.84    187.48 3.21e-02     332.22     18.48  -9999.  -9999.  -9999.   -76.3743    38.9584  -9999.  -9999.  -9999.
5105.62  -9999.    220.44 1.00e+00    -16.31      8.49      31477.8      8.83    187.47 3.20e-02     332.51     18.39  -9999.  -9999.  -9999.   -76.3742    38.9582  -9999.  -9999.  -9999.
5106.62  -9999.    220.44 1.00e+00    -16.27      8.35      31483.9      8.82    187.47 3.21e-02     332.82     18.29  -9999.  -9999.  -9999.   -76.3742    38.9580  -9999.  -9999.  -9999.
5107.62  -9999.    220.45 1.00e+00    -16.22      8.21      31489.4      8.82    187.48 3.21e-02     333.14     18.18  -9999.  -9999.  -9999.   -76.3742    38.9579  -9999.  -9999.  -9999.
5108.62  -9999.    220.46 1.00e+00    -16.16      8.07      31494.1      8.81    187.48 3.22e-02     333.47     18.07  -9999.  -9999.  -9999.   -76.3741    38.9577  -9999.  -9999.  -9999.
5109.62  -9999.    220.46 1.00e+00    -16.10      7.92      31498.8      8.80    187.48 3.22e-02     333.82     17.95  -9999.  -9999.  -9999.   -76.3740    38.9576  -9999.  -9999.  -9999.
5110.62  -9999.    220.45 1.00e+00    -16.04      7.76      31503.6      8.80    187.48 3.22e-02     334.18     17.82  -9999.  -9999.  -9999.   -76.3740    38.9575  -9999.  -9999.  -9999.
5111.62  -9999.    220.45 1.00e+00    -15.97      7.60      31508.4      8.79    187.47 3.22e-02     334.56     17.68  -9999.  -9999.  -9999.   -76.3739    38.9573  -9999.  -9999.  -9999.
5112.62  -9999.    220.44 1.00e+00    -15.89      7.43      31514.6      8.78    187.47 3.22e-02     334.94     17.54  -9999.  -9999.  -9999.   -76.3738    38.9572  -9999.  -9999.  -9999.
5113.62  -9999.    220.46 1.00e+00    -15.80      7.26      31522.5      8.77    187.48 3.23e-02     335.31     17.39  -9999.  -9999.  -9999.   -76.3737    38.9570  -9999.  -9999.  -9999.
5114.62  -9999.    220.48 1.00e+00    -15.71      7.10      31530.2      8.76    187.50 3.25e-02     335.67     17.25  -9999.  -9999.  -9999.   -76.3736    38.9569  -9999.  -9999.  -9999.
5115.62  -9999.    220.52 1.00e+00    -15.62      6.95      31537.9      8.75    187.52 3.26e-02     336.01     17.10  -9999.  -9999.  -9999.   -76.3735    38.9567  -9999.  -9999.  -9999.
5116.62  -9999.    220.54 1.00e+00    -15.53      6.81      31544.6      8.74    187.54 3.28e-02     336.33     16.96  -9999.  -9999.  -9999.   -76.3735    38.9565  -9999.  -9999.  -9999.
5117.62  -9999.    220.55 1.00e+00    -15.43      6.67      31551.3      8.73    187.54 3.28e-02     336.62     16.81  -9999.  -9999.  -9999.   -76.3735    38.9563  -9999.  -9999.  -9999.
5118.62  -9999.    220.55 1.00e+00    -15.33      6.54      31558.0      8.72    187.55 3.29e-02     336.90     16.67  -9999.  -9999.  -9999.   -76.3735    38.9562  -9999.  -9999.  -9999.
5119.62  -9999.    220.56 1.00e+00    -15.22      6.42      31564.7      8.71    187.55 3.29e-02     337.14     16.52  -9999.  -9999.  -9999.   -76.3735    38.9561  -9999.  -9999.  -9999.
5120.62  -9999.    220.56 1.00e+00    -15.11      6.30      31569.9      8.71    187.55 3.30e-02     337.36     16.37  -9999.  -9999.  -9999.   -76.3734    38.9560  -9999.  -9999.  -9999.
5121.62  -9999.    220.58 1.00e+00    -14.98      6.19      31573.7      8.70    187.56 3.30e-02     337.53     16.21  -9999.  -9999.  -9999.   -76.3733    38.9559  -9999.  -9999.  -9999.
5122.62  -9999.    220.60 1.00e+00    -14.84      6.10      31577.2      8.70    187.58 3.32e-02     337.67     16.05  -9999.  -9999.  -9999.   -76.3731    38.9557  -9999.  -9999.  -9999.
5123.62  -9999.    220.64 1.00e+00    -14.70      6.01      31580.7      8.69    187.61 3.33e-02     337.76     15.89  -9999.  -9999.  -9999.   -76.3730    38.9555  -9999.  -9999.  -9999.
5124.62  -9999.    220.67 1.00e+00    -14.56      5.94      31584.3      8.69    187.63 3.35e-02     337.82     15.73  -9999.  -9999.  -9999.   -76.3730    38.9554  -9999.  -9999.  -9999.
5125.62  -9999.    220.67 1.00e+00    -14.42      5.87      31587.8      8.68    187.63 3.35e-02     337.85     15.57  -9999.  -9999.  -9999.   -76.3729    38.9552  -9999.  -9999.  -9999.
5126.62  -9999.    220.66 1.00e+00    -14.27      5.80      31592.8      8.68    187.62 3.35e-02     337.86     15.41  -9999.  -9999.  -9999.   -76.3729    38.9551  -9999.  -9999.  -9999.
5127.62  -9999.    220.63 1.00e+00    -14.12      5.75      31599.5      8.67    187.60 3.34e-02     337.86     15.25  -9999.  -9999.  -9999.   -76.3729    38.9550  -9999.  -9999.  -9999.
5128.62  -9999.    220.61 1.00e+00    -13.97      5.69      31606.1      8.66    187.59 3.33e-02     337.83     15.08  -9999.  -9999.  -9999.   -76.3729    38.9549  -9999.  -9999.  -9999.
5129.62  -9999.    220.59 1.00e+00    -13.81      5.64      31612.3      8.65    187.57 3.33e-02     337.77     14.92  -9999.  -9999.  -9999.   -76.3728    38.9548  -9999.  -9999.  -9999.
5130.62  -9999.    220.57 1.00e+00    -13.64      5.60      31617.3      8.64    187.58 3.34e-02     337.68     14.74  -9999.  -9999.  -9999.   -76.3727    38.9547  -9999.  -9999.  -9999.
5131.62  -9999.    220.55 1.01e+00    -13.47      5.57      31622.4      8.64    187.58 3.34e-02     337.54     14.57  -9999.  -9999.  -9999.   -76.3726    38.9546  -9999.  -9999.  -9999.
5132.62  -9999.    220.55 1.00e+00    -13.29      5.54      31627.5      8.63    187.57 3.34e-02     337.38     14.40  -9999.  -9999.  -9999.   -76.3725    38.9544  -9999.  -9999.  -9999.
5133.62  -9999.    220.54 1.00e+00    -13.12      5.51      31632.5      8.62    187.56 3.34e-02     337.20     14.23  -9999.  -9999.  -9999.   -76.3725    38.9542  -9999.  -9999.  -9999.
5134.62  -9999.    220.53 1.01e+00    -12.96      5.49      31637.5      8.62    187.56 3.34e-02     337.03     14.08  -9999.  -9999.  -9999.   -76.3724    38.9541  -9999.  -9999.  -9999.
5135.62  -9999.    220.50 1.01e+00    -12.84      5.48      31643.6      8.61    187.60 3.36e-02     336.89     13.96  -9999.  -9999.  -9999.   -76.3724    38.9539  -9999.  -9999.  -9999.
5136.62  -9999.    220.46 1.03e+00    -12.74      5.47      31650.8      8.60    187.65 3.39e-02     336.77     13.86  -9999.  -9999.  -9999.   -76.3724    38.9538  -9999.  -9999.  -9999.
5137.62  -9999.    220.43 1.04e+00    -12.64      5.46      31658.0      8.59    187.67 3.41e-02     336.66     13.77  -9999.  -9999.  -9999.   -76.3724    38.9538  -9999.  -9999.  -9999.
5138.62  -9999.    220.39 1.04e+00    -12.53      5.44      31665.2      8.58    187.65 3.40e-02     336.53     13.67  -9999.  -9999.  -9999.   -76.3723    38.9537  -9999.  -9999.  -9999.
5139.62  -9999.    220.37 1.04e+00    -12.40      5.43      31671.5      8.57    187.62 3.39e-02     336.36     13.53  -9999.  -9999.  -9999.   -76.3722    38.9536  -9999.  -9999.  -9999.
5140.62  -9999.    220.34 1.04e+00    -12.23      5.41      31677.0      8.56    187.62 3.39e-02     336.15     13.37  -9999.  -9999.  -9999.   -76.3721    38.9536  -9999.  -9999.  -9999.
5141.62  -9999.    220.32 1.05e+00    -12.04      5.38      31682.4      8.56    187.64 3.41e-02     335.91     13.19  -9999.  -9999.  -9999.   -76.3720    38.9535  -9999.  -9999.  -9999.
5142.62  -9999.    220.29 1.05e+00    -11.84      5.36      31687.6      8.55    187.65 3.41e-02     335.64     13.00  -9999.  -9999.  -9999.   -76.3719    38.9533  -9999.  -9999.  -9999.
5143.62  -9999.    220.26 1.05e+00    -11.65      5.34      31692.4      8.54    187.64 3.41e-02     335.36     12.81  -9999.  -9999.  -9999.   -76.3719    38.9532  -9999.  -9999.  -9999.
5144.62  -9999.    220.22 1.05e+00    -11.45      5.32      31697.2      8.54    187.62 3.40e-02     335.06     12.63  -9999.  -9999.  -9999.   -76.3719    38.9531  -9999.  -9999.  -9999.
5145.62  -9999.    220.18 1.05e+00    -11.25      5.31      31702.0      8.53    187.59 3.38e-02     334.75     12.44  -9999.  -9999.  -9999.   -76.3720    38.9530  -9999.  -9999.  -9999.
5146.62  -9999.    220.13 1.05e+00    -11.05      5.29      31706.7      8.53    187.56 3.37e-02     334.42     12.25  -9999.  -9999.  -9999.   -76.3720    38.9529  -9999.  -9999.  -9999.
5147.62  -9999.    220.09 1.05e+00    -10.85      5.27      31711.6      8.52    187.53 3.36e-02     334.08     12.06  -9999.  -9999.  -9999.   -76.3719    38.9528  -9999.  -9999.  -9999.
5148.62  -9999.    220.05 1.05e+00    -10.65      5.26      31716.5      8.51    187.50 3.34e-02     333.73     11.87  -9999.  -9999.  -9999.   -76.3718    38.9527  -9999.  -9999.  -9999.
5149.62  -9999.    220.00 1.06e+00    -10.44      5.24      31721.4      8.51    187.51 3.35e-02     333.35     11.68  -9999.  -9999.  -9999.   -76.3717    38.9526  -9999.  -9999.  -9999.
5150.62  -9999.    219.95 1.07e+00    -10.22      5.22      31726.3      8.50    187.53 3.37e-02     332.94     11.48  -9999.  -9999.  -9999.   -76.3715    38.9525  -9999.  -9999.  -9999.
5151.62  -9999.    219.90 1.08e+00    -10.00      5.21      31731.3      8.49    187.53 3.37e-02     332.50     11.28  -9999.  -9999.  -9999.   -76.3714    38.9524  -9999.  -9999.  -9999.
5152.62  -9999.    219.85 1.08e+00     -9.78      5.19      31737.9      8.48    187.50 3.35e-02     332.03     11.07  -9999.  -9999.  -9999.   -76.3713    38.9522  -9999.  -9999.  -9999.
5153.62  -9999.    219.78 1.08e+00     -9.56      5.18      31745.9      8.47    187.44 3.32e-02     331.53     10.87  -9999.  -9999.  -9999.   -76.3713    38.9521  -9999.  -9999.  -9999.
5154.62  -9999.    219.73 1.08e+00     -9.33      5.17      31752.8      8.46    187.40 3.31e-02     331.01     10.67  -9999.  -9999.  -9999.   -76.3713    38.9521  -9999.  -9999.  -9999.
5155.62  -9999.    219.70 1.07e+00     -9.10      5.16      31758.4      8.46    187.37 3.29e-02     330.46     10.46  -9999.  -9999.  -9999.   -76.3713    38.9520  -9999.  -9999.  -9999.
5156.62  -9999.    219.67 1.07e+00     -8.87      5.15      31763.9      8.45    187.31 3.26e-02     329.88     10.25  -9999.  -9999.  -9999.   -76.3713    38.9520  -9999.  -9999.  -9999.
5157.62  -9999.    219.63 1.06e+00     -8.63      5.14      31769.4      8.44    187.23 3.22e-02     329.26     10.05  -9999.  -9999.  -9999.   -76.3712    38.9519  -9999.  -9999.  -9999.
5158.62  -9999.    219.58 1.05e+00     -8.40      5.13      31774.8      8.44    187.14 3.18e-02     328.60      9.84  -9999.  -9999.  -9999.   -76.3712    38.9519  -9999.  -9999.  -9999.
5159.62  -9999.    219.54 1.04e+00     -8.15      5.12      31780.2      8.43    187.08 3.14e-02     327.88      9.63  -9999.  -9999.  -9999.   -76.3711    38.9518  -9999.  -9999.  -9999.
5160.62  -9999.    219.52 1.04e+00     -7.91      5.11      31786.0      8.42    187.03 3.12e-02     327.13      9.42  -9999.  -9999.  -9999.   -76.3710    38.9517  -9999.  -9999.  -9999.
5161.62  -9999.    219.54 1.03e+00     -7.68      5.11      31791.7      8.41    187.00 3.11e-02     326.37      9.23  -9999.  -9999.  -9999.   -76.3710    38.9515  -9999.  -9999.  -9999.
5162.62  -9999.    219.58 1.02e+00     -7.47      5.11      31798.3      8.40    186.97 3.09e-02     325.65      9.05  -9999.  -9999.  -9999.   -76.3710    38.9514  -9999.  -9999.  -9999.
5163.62  -9999.    219.59 1.01e+00     -7.30      5.11      31805.4      8.40    186.93 3.08e-02     325.01      8.91  -9999.  -9999.  -9999.   -76.3709    38.9514  -9999.  -9999.  -9999.
5164.62  -9999.    219.58 1.01e+00     -7.14      5.11      31812.2      8.39    186.90 3.06e-02     324.42      8.77  -9999.  -9999.  -9999.   -76.3709    38.9513  -9999.  -9999.  -9999.
5165.62  -9999.    219.55 1.00e+00     -6.96      5.11      31819.0      8.38    186.87 3.05e-02     323.73      8.63  -9999.  -9999.  -9999.   -76.3708    38.9513  -9999.  -9999.  -9999.
5166.62  -9999.    219.54 1.00e+00     -6.75      5.11      31824.5      8.37    186.85 3.04e-02     322.89      8.46  -9999.  -9999.  -9999.   -76.3707    38.9513  -9999.  -9999.  -9999.
5167.62  -9999.    219.55 1.00e+00     -6.52      5.11      31830.1      8.36    186.84 3.04e-02     321.93      8.28  -9999.  -9999.  -9999.   -76.3706    38.9512  -9999.  -9999.  -9999.
5168.62  -9999.    219.56 1.00e+00     -6.29      5.11      31834.5      8.36    186.85 3.05e-02     320.91      8.11  -9999.  -9999.  -9999.   -76.3705    38.9512  -9999.  -9999.  -9999.
5169.62  -9999.    219.56 1.00e+00     -6.07      5.12      31838.8      8.35    186.85 3.05e-02     319.85      7.94  -9999.  -9999.  -9999.   -76.3704    38.9511  -9999.  -9999.  -9999.
5170.62  -9999.    219.55 1.00e+00     -5.85      5.13      31843.2      8.35    186.84 3.05e-02     318.75      7.78  -9999.  -9999.  -9999.   -76.3704    38.9511  -9999.  -9999.  -9999.
5171.62  -9999.    219.55 1.00e+00     -5.63      5.14      31846.8      8.34    186.85 3.05e-02     317.63      7.63  -9999.  -9999.  -9999.   -76.3704    38.9510  -9999.  -9999.  -9999.
5172.62  -9999.    219.58 1.00e+00     -5.42      5.15      31850.5      8.34    186.86 3.06e-02     316.47      7.48  -9999.  -9999.  -9999.   -76.3704    38.9510  -9999.  -9999.  -9999.
5173.62  -9999.    219.61 1.00e+00     -5.22      5.17      31853.9      8.33    186.88 3.08e-02     315.28      7.35  -9999.  -9999.  -9999.   -76.3703    38.9510  -9999.  -9999.  -9999.
5174.62  -9999.    219.64 1.00e+00     -5.02      5.19      31857.3      8.33    186.91 3.09e-02     314.04      7.22  -9999.  -9999.  -9999.   -76.3703    38.9509  -9999.  -9999.  -9999.
5175.62  -9999.    219.66 1.00e+00     -4.82      5.21      31860.7      8.32    186.92 3.10e-02     312.75      7.09  -9999.  -9999.  -9999.   -76.3702    38.9509  -9999.  -9999.  -9999.
5176.62  -9999.    219.68 1.00e+00     -4.62      5.23      31864.8      8.32    186.94 3.11e-02     311.42      6.98  -9999.  -9999.  -9999.   -76.3701    38.9509  -9999.  -9999.  -9999.
5177.62  -9999.    219.71 1.00e+00     -4.42      5.26      31870.8      8.31    186.95 3.12e-02     310.06      6.87  -9999.  -9999.  -9999.   -76.3701    38.9508  -9999.  -9999.  -9999.
5178.62  -9999.    219.75 1.00e+00     -4.23      5.29      31878.6      8.30    186.98 3.14e-02     308.67      6.78  -9999.  -9999.  -9999.   -76.3700    38.9507  -9999.  -9999.  -9999.
5179.62  -9999.    219.81 1.00e+00     -4.05      5.32      31886.7      8.29    187.02 3.17e-02     307.26      6.68  -9999.  -9999.  -9999.   -76.3699    38.9506  -9999.  -9999.  -9999.
5180.62  -9999.    219.86 1.00e+00     -3.86      5.35      31892.1      8.28    187.06 3.19e-02     305.81      6.59  -9999.  -9999.  -9999.   -76.3699    38.9505  -9999.  -9999.  -9999.
