Generated by Rfunction:  Get.mw41.edt.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   R3340183
RS_freq:        403
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2020-01-23 06:46:41
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
  64.81  -9999.    272.54    47.12      2.76     -0.08        445.4    974.13    262.66     1.76     178.43      2.76 1  -9999.  -9999.   -76.8748    39.0581  -9999.  -9999.  -9999.
  65.81  -9999.    272.50    47.12      2.74     -0.10        452.0    973.38    262.61     1.76     177.82      2.75 1  -9999.  -9999.   -76.8748    39.0581  -9999.  -9999.  -9999.
  66.81  -9999.    272.46    46.74      2.73     -0.13        457.2    972.63    262.48     1.74     177.24      2.74 1  -9999.  -9999.   -76.8748    39.0581  -9999.  -9999.  -9999.
  67.81  -9999.    272.43    46.61      2.73     -0.16        463.0    971.86    262.42     1.73     176.70      2.73 1  -9999.  -9999.   -76.8748    39.0581  -9999.  -9999.  -9999.
  68.81  -9999.    272.40    46.81      2.72     -0.18        469.2    971.09    262.45     1.74     176.19      2.73 1  -9999.  -9999.   -76.8748    39.0581  -9999.  -9999.  -9999.
  69.81  -9999.    272.37    47.07      2.72     -0.20        476.0    970.32    262.48     1.74     175.70      2.73 1  -9999.  -9999.   -76.8748    39.0582  -9999.  -9999.  -9999.
  70.81  -9999.    272.32    47.15      2.72     -0.23        483.6    969.53    262.46     1.74     175.24      2.73 1  -9999.  -9999.   -76.8748    39.0582  -9999.  -9999.  -9999.
  71.81  -9999.    272.28    47.26      2.72     -0.25        489.7    968.75    262.45     1.74     174.81      2.74 1  -9999.  -9999.   -76.8748    39.0582  -9999.  -9999.  -9999.
  72.81  -9999.    272.24    47.32      2.73     -0.27        496.2    967.98    262.43     1.74     174.42      2.74 1  -9999.  -9999.   -76.8748    39.0582  -9999.  -9999.  -9999.
  73.81  -9999.    272.21    47.14      2.73     -0.28        503.1    967.22    262.35     1.73     174.09      2.75 1  -9999.  -9999.   -76.8748    39.0582  -9999.  -9999.  -9999.
