Generated by Rfunction:  Get.mw41.edt.func2 
============> Radisonde_info:
RS_type:        RS41-SGP
RS_config:      -32768
RS_serialnum:   R3340183
RS_freq:        403
RS__windtype:   ccGPS
=============> Station_info:
Station:        HUBV_RS41SGP
Latitude:       39.0563
Longitude:      -76.8755
Altitude:       52.3
SW version:     MW41 2.15.0
Start time:     2020-01-23 06:46:41
=============> Variables & units - Vaisala EDT
NA_numeric value:  -9999
NA_string:  xx or NA
-----------------------------
	  Variable       Unit
	      time        sec
	        xx         NA
	        Ta          K
	        RH          %
	   v(S->N)        m/s
	   u(E->W)        m/s
	    Height          m
	     press        hPa
	        Td          K
	        MR       g/Kg
	        DD        dgr
	        FF        m/s
	Ascend_FLG  (0-N,1-Y)
	        xx         NA
	        xx         NA
	       Lon        dgr
	       Lat        dgr
	        xx         NA
	        xx         NA
	        xx         NA
=============> Data:
4695.81  -9999.    217.45     0.74    -10.72      1.57      28830.9     13.33    183.65     0.01     351.65     10.84 1  -9999.  -9999.   -76.3908    38.9944  -9999.  -9999.  -9999.
4696.81  -9999.    217.50     0.75    -10.72      1.63      28838.2     13.31    183.71     0.01     351.34     10.85 1  -9999.  -9999.   -76.3908    38.9943  -9999.  -9999.  -9999.
4697.81  -9999.    217.52     0.75    -10.72      1.70      28841.9     13.30    183.75     0.01     350.97     10.86 1  -9999.  -9999.   -76.3907    38.9942  -9999.  -9999.  -9999.
4698.81  -9999.    217.59     0.75    -10.72      1.78      28857.8     13.28    183.82     0.01     350.55     10.87 1  -9999.  -9999.   -76.3906    38.9941  -9999.  -9999.  -9999.
4699.81  -9999.    217.66     0.76    -10.71      1.87      28856.0     13.27    183.89     0.01     350.11     10.87 1  -9999.  -9999.   -76.3905    38.9940  -9999.  -9999.  -9999.
4700.81  -9999.    217.66     0.76    -10.70      1.95      28862.1     13.25    183.92     0.01     349.69     10.87 1  -9999.  -9999.   -76.3905    38.9940  -9999.  -9999.  -9999.
4701.81  -9999.    217.63     0.76    -10.68      2.01      28873.6     13.23    183.92     0.01     349.32     10.87 1  -9999.  -9999.   -76.3905    38.9939  -9999.  -9999.  -9999.
4702.81  -9999.    217.57     0.77    -10.67      2.07      28883.3     13.22    183.91     0.01     349.01     10.87 1  -9999.  -9999.   -76.3905    38.9938  -9999.  -9999.  -9999.
4703.81  -9999.    217.53     0.77    -10.65      2.13      28893.0     13.20    183.91     0.01     348.71     10.86 1  -9999.  -9999.   -76.3906    38.9937  -9999.  -9999.  -9999.
4704.81  -9999.    217.48     0.77    -10.62      2.19      28901.9     13.18    183.91     0.01     348.36     10.85 1  -9999.  -9999.   -76.3906    38.9936  -9999.  -9999.  -9999.
4705.81  -9999.    217.43     0.78    -10.60      2.25      28908.0     13.17    183.89     0.01     347.99     10.84 1  -9999.  -9999.   -76.3906    38.9935  -9999.  -9999.  -9999.
4706.81  -9999.    217.36     0.78    -10.57      2.32      28913.3     13.15    183.87     0.01     347.62     10.82 1  -9999.  -9999.   -76.3906    38.9934  -9999.  -9999.  -9999.
4707.81  -9999.    217.30     0.78    -10.55      2.38      28917.6     13.14    183.85     0.01     347.28     10.81 1  -9999.  -9999.   -76.3905    38.9933  -9999.  -9999.  -9999.
4708.81  -9999.    217.24     0.79    -10.52      2.43      28926.3     13.12    183.83     0.01     346.98     10.80 1  -9999.  -9999.   -76.3904    38.9932  -9999.  -9999.  -9999.
4709.81  -9999.    217.18     0.79    -10.51      2.48      28935.9     13.11    183.81     0.01     346.71     10.79 1  -9999.  -9999.   -76.3903    38.9930  -9999.  -9999.  -9999.
4710.81  -9999.    217.13     0.79    -10.49      2.52      28939.0     13.09    183.78     0.01     346.47     10.79 1  -9999.  -9999.   -76.3903    38.9930  -9999.  -9999.  -9999.
4711.81  -9999.    217.08     0.79    -10.47      2.56      28954.8     13.07    183.76     0.01     346.24     10.78 1  -9999.  -9999.   -76.3903    38.9929  -9999.  -9999.  -9999.
4712.81  -9999.    217.01     0.79    -10.46      2.60      28967.7     13.06    183.72     0.01     346.02     10.78 1  -9999.  -9999.   -76.3903    38.9928  -9999.  -9999.  -9999.
4713.81  -9999.    216.94     0.79    -10.44      2.64      28968.3     13.04    183.67     0.01     345.82     10.77 1  -9999.  -9999.   -76.3903    38.9928  -9999.  -9999.  -9999.
4714.81  -9999.    216.87     0.79    -10.43      2.67      28973.5     13.02    183.62     0.01     345.64     10.77 1  -9999.  -9999.   -76.3903    38.9927  -9999.  -9999.  -9999.
4715.81  -9999.    216.82     0.79    -10.42      2.70      28988.3     13.01    183.58     0.01     345.49     10.77 1  -9999.  -9999.   -76.3903    38.9926  -9999.  -9999.  -9999.
4716.81  -9999.    216.78     0.79    -10.42      2.72      28985.7     12.99    183.53     0.01     345.38     10.77 1  -9999.  -9999.   -76.3902    38.9925  -9999.  -9999.  -9999.
4717.81  -9999.    216.74     0.79    -10.42      2.73      28996.8     12.97    183.49     0.01     345.30     10.77 1  -9999.  -9999.   -76.3901    38.9924  -9999.  -9999.  -9999.
4718.81  -9999.    216.73     0.78    -10.42      2.74      29011.9     12.96    183.46     0.01     345.24     10.77 1  -9999.  -9999.   -76.3901    38.9922  -9999.  -9999.  -9999.
4719.81  -9999.    216.75     0.78    -10.42      2.75      29015.2     12.94    183.45     0.01     345.21     10.78 1  -9999.  -9999.   -76.3900    38.9921  -9999.  -9999.  -9999.
4720.81  -9999.    216.82     0.78    -10.43      2.76      29030.5     12.92    183.46     0.01     345.20     10.79 1  -9999.  -9999.   -76.3900    38.9920  -9999.  -9999.  -9999.
4721.81  -9999.    216.91     0.77    -10.44      2.76      29039.2     12.90    183.49     0.01     345.20     10.80 1  -9999.  -9999.   -76.3900    38.9919  -9999.  -9999.  -9999.
4722.81  -9999.    217.00     0.77    -10.46      2.76      29045.2     12.88    183.51     0.01     345.20     10.81 1  -9999.  -9999.   -76.3900    38.9919  -9999.  -9999.  -9999.
4723.81  -9999.    217.10     0.76    -10.47      2.76      29061.5     12.87    183.53     0.01     345.22     10.83 1  -9999.  -9999.   -76.3900    38.9919  -9999.  -9999.  -9999.
4724.81  -9999.    217.20     0.75    -10.48      2.76      29057.7     12.85    183.55     0.01     345.24     10.84 1  -9999.  -9999.   -76.3899    38.9918  -9999.  -9999.  -9999.
4725.81  -9999.    217.28     0.75    -10.50      2.76      29067.1     12.84    183.56     0.01     345.28     10.86 1  -9999.  -9999.   -76.3899    38.9917  -9999.  -9999.  -9999.
4726.81  -9999.    217.36     0.74    -10.51      2.75      29068.6     12.82    183.56     0.01     345.32     10.87 1  -9999.  -9999.   -76.3898    38.9916  -9999.  -9999.  -9999.
4727.81  -9999.    217.47     0.73    -10.53      2.75      29076.4     12.81    183.58     0.01     345.37     10.88 1  -9999.  -9999.   -76.3898    38.9915  -9999.  -9999.  -9999.
4728.81  -9999.    217.62     0.72    -10.55      2.74      29090.4     12.79    183.62     0.01     345.42     10.90 1  -9999.  -9999.   -76.3898    38.9913  -9999.  -9999.  -9999.
4729.81  -9999.    217.78     0.72    -10.57      2.74      29100.1     12.78    183.68     0.01     345.49     10.92 1  -9999.  -9999.   -76.3897    38.9911  -9999.  -9999.  -9999.
4730.81  -9999.    217.94     0.71    -10.60      2.73      29108.0     12.76    183.74     0.01     345.57     10.94 1  -9999.  -9999.   -76.3897    38.9910  -9999.  -9999.  -9999.
4731.81  -9999.    218.05     0.70    -10.63      2.72      29117.6     12.74    183.76     0.01     345.64     10.97 1  -9999.  -9999.   -76.3897    38.9909  -9999.  -9999.  -9999.
4732.81  -9999.    218.10     0.70    -10.66      2.71      29122.3     12.73    183.75     0.01     345.71     11.00 1  -9999.  -9999.   -76.3897    38.9909  -9999.  -9999.  -9999.
4733.81  -9999.    218.11     0.69    -10.69      2.71      29134.6     12.71    183.71     0.01     345.77     11.02 1  -9999.  -9999.   -76.3896    38.9909  -9999.  -9999.  -9999.
4734.81  -9999.    218.10     0.69    -10.71      2.71      29140.6     12.70    183.66     0.01     345.81     11.05 1  -9999.  -9999.   -76.3896    38.9909  -9999.  -9999.  -9999.
4735.81  -9999.    218.11     0.68    -10.74      2.71      29142.3     12.68    183.63     0.01     345.84     11.08 1  -9999.  -9999.   -76.3895    38.9908  -9999.  -9999.  -9999.
4736.81  -9999.    218.15     0.68    -10.77      2.71      29153.5     12.67    183.63     0.01     345.86     11.11 1  -9999.  -9999.   -76.3894    38.9907  -9999.  -9999.  -9999.
4737.81  -9999.    218.23     0.68    -10.80      2.72      29163.2     12.65    183.67     0.01     345.88     11.14 1  -9999.  -9999.   -76.3894    38.9905  -9999.  -9999.  -9999.
4738.81  -9999.    218.30     0.68    -10.83      2.72      29162.4     12.64    183.70     0.01     345.91     11.17 1  -9999.  -9999.   -76.3894    38.9904  -9999.  -9999.  -9999.
4739.81  -9999.    218.34     0.67    -10.86      2.72      29167.6     12.62    183.72     0.01     345.93     11.20 1  -9999.  -9999.   -76.3894    38.9902  -9999.  -9999.  -9999.
4740.81  -9999.    218.37     0.67    -10.90      2.73      29183.5     12.61    183.75     0.01     345.95     11.24 1  -9999.  -9999.   -76.3895    38.9901  -9999.  -9999.  -9999.
4741.81  -9999.    218.41     0.68    -10.94      2.74      29190.8     12.59    183.79     0.01     345.95     11.27 1  -9999.  -9999.   -76.3895    38.9900  -9999.  -9999.  -9999.
4742.81  -9999.    218.48     0.68    -10.97      2.75      29201.1     12.58    183.85     0.01     345.94     11.31 1  -9999.  -9999.   -76.3894    38.9899  -9999.  -9999.  -9999.
4743.81  -9999.    218.52     0.68    -11.01      2.76      29208.2     12.56    183.90     0.01     345.91     11.35 1  -9999.  -9999.   -76.3894    38.9899  -9999.  -9999.  -9999.
4744.81  -9999.    218.48     0.69    -11.04      2.78      29214.9     12.55    183.91     0.01     345.86     11.39 1  -9999.  -9999.   -76.3893    38.9898  -9999.  -9999.  -9999.
4745.81  -9999.    218.41     0.69    -11.07      2.80      29214.3     12.54    183.91     0.01     345.79     11.42 1  -9999.  -9999.   -76.3892    38.9898  -9999.  -9999.  -9999.
4746.81  -9999.    218.34     0.70    -11.10      2.83      29228.0     12.52    183.91     0.01     345.72     11.46 1  -9999.  -9999.   -76.3891    38.9897  -9999.  -9999.  -9999.
4747.81  -9999.    218.28     0.70    -11.13      2.84      29232.0     12.51    183.91     0.01     345.66     11.49 1  -9999.  -9999.   -76.3891    38.9895  -9999.  -9999.  -9999.
4748.81  -9999.    218.21     0.71    -11.15      2.86      29243.6     12.49    183.93     0.01     345.62     11.51 1  -9999.  -9999.   -76.3892    38.9894  -9999.  -9999.  -9999.
4749.81  -9999.    218.16     0.72    -11.17      2.87      29246.3     12.48    183.95     0.01     345.58     11.53 1  -9999.  -9999.   -76.3892    38.9893  -9999.  -9999.  -9999.
4750.81  -9999.    218.10     0.73    -11.18      2.88      29257.8     12.46    183.98     0.01     345.55     11.55 1  -9999.  -9999.   -76.3893    38.9892  -9999.  -9999.  -9999.
4751.81  -9999.    218.04     0.74    -11.19      2.89      29263.3     12.45    184.01     0.01     345.51     11.56 1  -9999.  -9999.   -76.3893    38.9891  -9999.  -9999.  -9999.
4752.81  -9999.    217.98     0.74    -11.21      2.91      29271.7     12.43    184.04     0.01     345.45     11.58 1  -9999.  -9999.   -76.3893    38.9890  -9999.  -9999.  -9999.
4753.81  -9999.    217.93     0.75    -11.22      2.93      29284.7     12.42    184.07     0.01     345.38     11.60 1  -9999.  -9999.   -76.3892    38.9889  -9999.  -9999.  -9999.
4754.81  -9999.    217.89     0.76    -11.23      2.95      29287.2     12.41    184.12     0.01     345.30     11.61 1  -9999.  -9999.   -76.3891    38.9888  -9999.  -9999.  -9999.
4755.81  -9999.    217.85     0.77    -11.23      2.97      29286.1     12.39    184.16     0.01     345.21     11.62 1  -9999.  -9999.   -76.3890    38.9887  -9999.  -9999.  -9999.
4756.81  -9999.    217.83     0.78    -11.24      2.98      29302.1     12.38    184.22     0.01     345.13     11.63 1  -9999.  -9999.   -76.3889    38.9885  -9999.  -9999.  -9999.
4757.81  -9999.    217.79     0.79    -11.23      3.00      29308.3     12.36    184.26     0.01     345.06     11.63 1  -9999.  -9999.   -76.3889    38.9884  -9999.  -9999.  -9999.
4758.81  -9999.    217.74     0.80    -11.23      3.01      29314.4     12.35    184.29     0.01     345.01     11.62 1  -9999.  -9999.   -76.3889    38.9883  -9999.  -9999.  -9999.
4759.81  -9999.    217.67     0.81    -11.22      3.01      29326.0     12.34    184.31     0.01     344.97     11.61 1  -9999.  -9999.   -76.3890    38.9883  -9999.  -9999.  -9999.
4760.81  -9999.    217.60     0.82    -11.20      3.01      29331.3     12.32    184.32     0.01     344.94     11.60 1  -9999.  -9999.   -76.3890    38.9882  -9999.  -9999.  -9999.
4761.81  -9999.    217.53     0.83    -11.18      3.01      29336.7     12.31    184.33     0.01     344.91     11.58 1  -9999.  -9999.   -76.3890    38.9881  -9999.  -9999.  -9999.
4762.81  -9999.    217.49     0.84    -11.16      3.02      29338.4     12.29    184.36     0.01     344.87     11.56 1  -9999.  -9999.   -76.3889    38.9880  -9999.  -9999.  -9999.
4763.81  -9999.    217.43     0.84    -11.14      3.02      29345.0     12.28    184.37     0.01     344.82     11.54 1  -9999.  -9999.   -76.3888    38.9879  -9999.  -9999.  -9999.
4764.81  -9999.    217.36     0.85    -11.11      3.03      29356.2     12.26    184.37     0.01     344.75     11.51 1  -9999.  -9999.   -76.3887    38.9878  -9999.  -9999.  -9999.
4765.81  -9999.    217.28     0.86    -11.09      3.03      29376.3     12.25    184.36     0.01     344.69     11.49 1  -9999.  -9999.   -76.3887    38.9876  -9999.  -9999.  -9999.
4766.81  -9999.    217.22     0.86    -11.06      3.04      29376.5     12.23    184.35     0.01     344.64     11.47 1  -9999.  -9999.   -76.3887    38.9875  -9999.  -9999.  -9999.
4767.81  -9999.    217.16     0.87    -11.04      3.04      29388.5     12.22    184.35     0.01     344.60     11.45 1  -9999.  -9999.   -76.3887    38.9874  -9999.  -9999.  -9999.
4768.81  -9999.    217.10     0.87    -11.01      3.04      29392.6     12.21    184.34     0.01     344.56     11.42 1  -9999.  -9999.   -76.3887    38.9874  -9999.  -9999.  -9999.
4769.81  -9999.    217.07     0.88    -10.98      3.04      29399.5     12.19    184.34     0.01     344.52     11.39 1  -9999.  -9999.   -76.3887    38.9873  -9999.  -9999.  -9999.
4770.81  -9999.    217.05     0.88    -10.95      3.04      29397.5     12.18    184.35     0.01     344.47     11.36 1  -9999.  -9999.   -76.3886    38.9873  -9999.  -9999.  -9999.
4771.81  -9999.    217.02     0.89    -10.92      3.05      29408.7     12.17    184.36     0.01     344.41     11.33 1  -9999.  -9999.   -76.3886    38.9872  -9999.  -9999.  -9999.
4772.81  -9999.    216.99     0.89    -10.89      3.05      29415.1     12.16    184.36     0.01     344.33     11.31 1  -9999.  -9999.   -76.3885    38.9871  -9999.  -9999.  -9999.
4773.81  -9999.    216.96     0.89    -10.87      3.06      29423.2     12.14    184.35     0.01     344.26     11.29 1  -9999.  -9999.   -76.3885    38.9870  -9999.  -9999.  -9999.
4774.81  -9999.    216.93     0.89    -10.85      3.07      29425.6     12.13    184.34     0.01     344.19     11.28 1  -9999.  -9999.   -76.3885    38.9868  -9999.  -9999.  -9999.
4775.81  -9999.    216.89     0.89    -10.84      3.08      29431.2     12.12    184.32     0.01     344.13     11.27 1  -9999.  -9999.   -76.3884    38.9867  -9999.  -9999.  -9999.
4776.81  -9999.    216.85     0.90    -10.84      3.09      29445.5     12.10    184.30     0.01     344.09     11.27 1  -9999.  -9999.   -76.3884    38.9866  -9999.  -9999.  -9999.
4777.81  -9999.    216.82     0.90    -10.85      3.10      29455.4     12.09    184.28     0.01     344.07     11.28 1  -9999.  -9999.   -76.3884    38.9865  -9999.  -9999.  -9999.
4778.81  -9999.    216.78     0.90    -10.85      3.10      29463.5     12.07    184.25     0.01     344.04     11.28 1  -9999.  -9999.   -76.3883    38.9865  -9999.  -9999.  -9999.
4779.81  -9999.    216.74     0.90    -10.85      3.11      29471.7     12.06    184.22     0.01     344.02     11.29 1  -9999.  -9999.   -76.3883    38.9864  -9999.  -9999.  -9999.
4780.81  -9999.    216.72     0.89    -10.86      3.12      29472.0     12.04    184.20     0.01     343.97     11.30 1  -9999.  -9999.   -76.3882    38.9864  -9999.  -9999.  -9999.
4781.81  -9999.    216.68     0.89    -10.87      3.14      29484.1     12.03    184.17     0.01     343.91     11.31 1  -9999.  -9999.   -76.3882    38.9863  -9999.  -9999.  -9999.
4782.81  -9999.    216.64     0.89    -10.88      3.15      29483.8     12.02    184.14     0.01     343.84     11.33 1  -9999.  -9999.   -76.3881    38.9862  -9999.  -9999.  -9999.
4783.81  -9999.    216.59     0.89    -10.90      3.17      29492.1     12.01    184.10     0.01     343.77     11.35 1  -9999.  -9999.   -76.3881    38.9861  -9999.  -9999.  -9999.
4784.81  -9999.    216.53     0.89    -10.92      3.19      29499.0     11.99    184.04     0.01     343.71     11.38 1  -9999.  -9999.   -76.3881    38.9859  -9999.  -9999.  -9999.
4785.81  -9999.    216.48     0.89    -10.95      3.21      29511.9     11.98    184.00     0.01     343.67     11.41 1  -9999.  -9999.   -76.3882    38.9858  -9999.  -9999.  -9999.
4786.81  -9999.    216.44     0.89    -10.97      3.22      29515.2     11.97    183.96     0.01     343.65     11.43 1  -9999.  -9999.   -76.3882    38.9857  -9999.  -9999.  -9999.
4787.81  -9999.    216.40     0.88    -10.99      3.22      29518.5     11.96    183.92     0.01     343.65     11.45 1  -9999.  -9999.   -76.3881    38.9856  -9999.  -9999.  -9999.
4788.81  -9999.    216.40     0.88    -11.02      3.23      29524.0     11.95    183.90     0.01     343.66     11.48 1  -9999.  -9999.   -76.3881    38.9856  -9999.  -9999.  -9999.
4789.81  -9999.    216.38     0.88    -11.05      3.24      29532.6     11.93    183.87     0.01     343.66     11.52 1  -9999.  -9999.   -76.3880    38.9855  -9999.  -9999.  -9999.
4790.81  -9999.    216.37     0.88    -11.08      3.25      29531.7     11.92    183.85     0.01     343.66     11.55 1  -9999.  -9999.   -76.3878    38.9854  -9999.  -9999.  -9999.
4791.81  -9999.    216.38     0.88    -11.12      3.26      29547.7     11.91    183.84     0.01     343.63     11.59 1  -9999.  -9999.   -76.3878    38.9853  -9999.  -9999.  -9999.
4792.81  -9999.    216.40     0.87    -11.15      3.28      29553.2     11.90    183.84     0.01     343.59     11.62 1  -9999.  -9999.   -76.3877    38.9852  -9999.  -9999.  -9999.
4793.81  -9999.    216.40     0.87    -11.17      3.30      29562.3     11.88    183.82     0.01     343.54     11.65 1  -9999.  -9999.   -76.3877    38.9851  -9999.  -9999.  -9999.
4794.81  -9999.    216.38     0.87    -11.20      3.32      29567.0     11.87    183.79     0.01     343.49     11.68 1  -9999.  -9999.   -76.3878    38.9850  -9999.  -9999.  -9999.
4795.81  -9999.    216.34     0.86    -11.22      3.33      29573.6     11.86    183.74     0.01     343.46     11.70 1  -9999.  -9999.   -76.3878    38.9849  -9999.  -9999.  -9999.
4796.81  -9999.    216.30     0.86    -11.23      3.34      29580.3     11.84    183.69     0.01     343.43     11.72 1  -9999.  -9999.   -76.3878    38.9848  -9999.  -9999.  -9999.
4797.81  -9999.    216.28     0.86    -11.25      3.35      29586.9     11.83    183.65     0.01     343.39     11.74 1  -9999.  -9999.   -76.3878    38.9847  -9999.  -9999.  -9999.
4798.81  -9999.    216.26     0.85    -11.26      3.37      29597.3     11.82    183.61     0.01     343.36     11.76 1  -9999.  -9999.   -76.3877    38.9846  -9999.  -9999.  -9999.
4799.81  -9999.    216.25     0.85    -11.28      3.38      29604.3     11.81    183.57     0.01     343.30     11.77 1  -9999.  -9999.   -76.3876    38.9845  -9999.  -9999.  -9999.
4800.81  -9999.    216.25     0.84    -11.29      3.40      29608.3     11.79    183.54     0.01     343.22     11.79 1  -9999.  -9999.   -76.3875    38.9844  -9999.  -9999.  -9999.
4801.81  -9999.    216.26     0.84    -11.30      3.43      29609.9     11.78    183.52     0.01     343.12     11.81 1  -9999.  -9999.   -76.3875    38.9843  -9999.  -9999.  -9999.
4802.81  -9999.    216.26     0.83    -11.31      3.46      29615.5     11.77    183.48     0.01     343.01     11.83 1  -9999.  -9999.   -76.3875    38.9841  -9999.  -9999.  -9999.
4803.81  -9999.    216.27     0.83    -11.33      3.49      29626.0     11.76    183.45     0.01     342.88     11.85 1  -9999.  -9999.   -76.3875    38.9840  -9999.  -9999.  -9999.
4804.81  -9999.    216.31     0.82    -11.34      3.52      29641.3     11.75    183.44     0.01     342.77     11.88 1  -9999.  -9999.   -76.3875    38.9840  -9999.  -9999.  -9999.
4805.81  -9999.    216.38     0.82    -11.36      3.54      29640.4     11.74    183.45     0.01     342.67     11.90 1  -9999.  -9999.   -76.3875    38.9839  -9999.  -9999.  -9999.
4806.81  -9999.    216.43     0.81    -11.37      3.57      29639.6     11.73    183.44     0.01     342.57     11.92 1  -9999.  -9999.   -76.3875    38.9838  -9999.  -9999.  -9999.
4807.81  -9999.    216.46     0.80    -11.38      3.60      29652.4     11.72    183.41     0.01     342.45     11.94 1  -9999.  -9999.   -76.3875    38.9838  -9999.  -9999.  -9999.
4808.81  -9999.    216.49     0.80    -11.40      3.64      29650.6     11.71    183.38     0.01     342.30     11.97 1  -9999.  -9999.   -76.3875    38.9837  -9999.  -9999.  -9999.
4809.81  -9999.    216.53     0.79    -11.43      3.68      29654.7     11.70    183.36     0.01     342.15     12.01 1  -9999.  -9999.   -76.3874    38.9835  -9999.  -9999.  -9999.
4810.81  -9999.    216.57     0.78    -11.46      3.72      29667.7     11.69    183.33     0.01     341.99     12.05 1  -9999.  -9999.   -76.3873    38.9834  -9999.  -9999.  -9999.
4811.81  -9999.    216.61     0.77    -11.50      3.77      29674.5     11.67    183.30     0.01     341.85     12.10 1  -9999.  -9999.   -76.3873    38.9832  -9999.  -9999.  -9999.
4812.81  -9999.    216.66     0.77    -11.55      3.82      29678.5     11.66    183.28     0.01     341.72     12.17 1  -9999.  -9999.   -76.3873    38.9831  -9999.  -9999.  -9999.
4813.81  -9999.    216.73     0.76    -11.62      3.86      29679.3     11.65    183.26     0.01     341.62     12.24 1  -9999.  -9999.   -76.3872    38.9830  -9999.  -9999.  -9999.
4814.81  -9999.    216.80     0.75    -11.70      3.91      29687.5     11.64    183.25     0.01     341.54     12.33 1  -9999.  -9999.   -76.3872    38.9829  -9999.  -9999.  -9999.
4815.81  -9999.    216.87     0.74    -11.79      3.95      29699.8     11.63    183.23     0.01     341.48     12.43 1  -9999.  -9999.   -76.3871    38.9829  -9999.  -9999.  -9999.
4816.81  -9999.    216.99     0.73    -11.88      3.99      29706.8     11.62    183.25     0.01     341.45     12.53 1  -9999.  -9999.   -76.3870    38.9829  -9999.  -9999.  -9999.
4817.81  -9999.    217.08     0.72    -11.99      4.03      29705.3     11.61    183.25     0.01     341.44     12.65 1  -9999.  -9999.   -76.3870    38.9828  -9999.  -9999.  -9999.
4818.81  -9999.    217.10     0.71    -12.10      4.06      29706.6     11.60    183.19     0.01     341.44     12.76 1  -9999.  -9999.   -76.3869    38.9827  -9999.  -9999.  -9999.
4819.81  -9999.    217.09     0.71    -12.22      4.10      29718.6     11.59    183.12     0.01     341.47     12.89 1  -9999.  -9999.   -76.3869    38.9826  -9999.  -9999.  -9999.
4820.81  -9999.    217.11     0.70    -12.35      4.12      29725.1     11.58    183.06     0.01     341.53     13.02 1  -9999.  -9999.   -76.3869    38.9825  -9999.  -9999.  -9999.
4821.81  -9999.    217.18     0.69    -12.49      4.15      29734.4     11.57    183.04     0.01     341.64     13.16 1  -9999.  -9999.   -76.3869    38.9823  -9999.  -9999.  -9999.
4822.81  -9999.    217.31     0.68    -12.64      4.16      29739.9     11.56    183.06     0.01     341.78     13.31 1  -9999.  -9999.   -76.3868    38.9822  -9999.  -9999.  -9999.
4823.81  -9999.    217.46     0.67    -12.80      4.17      29742.2     11.55    183.11     0.01     341.96     13.46 1  -9999.  -9999.   -76.3868    38.9821  -9999.  -9999.  -9999.
4824.81  -9999.    217.61     0.67    -12.96      4.17      29748.8     11.54    183.14     0.01     342.17     13.61 1  -9999.  -9999.   -76.3867    38.9820  -9999.  -9999.  -9999.
4825.81  -9999.    217.65     0.66    -13.11      4.16      29743.1     11.53    183.10     0.01     342.39     13.76 1  -9999.  -9999.   -76.3866    38.9819  -9999.  -9999.  -9999.
4826.81  -9999.    217.73     0.65    -13.27      4.15      29749.2     11.52    183.10     0.01     342.62     13.91 1  -9999.  -9999.   -76.3865    38.9818  -9999.  -9999.  -9999.
4827.81  -9999.    217.86     0.64    -13.42      4.14      29758.1     11.51    183.12     0.01     342.85     14.05 1  -9999.  -9999.   -76.3864    38.9817  -9999.  -9999.  -9999.
4828.81  -9999.    217.94     0.64    -13.57      4.13      29763.9     11.50    183.13     0.01     343.08     14.19 1  -9999.  -9999.   -76.3863    38.9816  -9999.  -9999.  -9999.
4829.81  -9999.    217.99     0.63    -13.71      4.11      29773.9     11.49    183.10     0.01     343.29     14.31 1  -9999.  -9999.   -76.3863    38.9814  -9999.  -9999.  -9999.
4830.81  -9999.    218.03     0.62    -13.82      4.10      29784.9     11.48    183.07     0.01     343.48     14.41 1  -9999.  -9999.   -76.3863    38.9813  -9999.  -9999.  -9999.
4831.81  -9999.    218.05     0.62    -13.91      4.08      29788.2     11.47    183.03     0.01     343.65     14.50 1  -9999.  -9999.   -76.3863    38.9811  -9999.  -9999.  -9999.
4832.81  -9999.    218.05     0.61    -13.99      4.06      29797.3     11.46    182.98     0.01     343.83     14.57 1  -9999.  -9999.   -76.3864    38.9810  -9999.  -9999.  -9999.
4833.81  -9999.    218.04     0.61    -14.08      4.03      29795.7     11.45    182.92     0.01     344.03     14.64 1  -9999.  -9999.   -76.3863    38.9808  -9999.  -9999.  -9999.
4834.81  -9999.    218.04     0.60    -14.16      3.99      29792.1     11.45    182.87     0.01     344.25     14.71 1  -9999.  -9999.   -76.3863    38.9807  -9999.  -9999.  -9999.
4835.81  -9999.    218.03     0.60    -14.24      3.96      29797.1     11.44    182.81     0.01     344.47     14.78 1  -9999.  -9999.   -76.3862    38.9805  -9999.  -9999.  -9999.
4836.81  -9999.    218.02     0.59    -14.30      3.92      29804.5     11.43    182.75     0.01     344.67     14.82 1  -9999.  -9999.   -76.3861    38.9804  -9999.  -9999.  -9999.
4837.81  -9999.    218.00     0.59    -14.34      3.89      29804.0     11.42    182.69     0.01     344.83     14.85 1  -9999.  -9999.   -76.3861    38.9802  -9999.  -9999.  -9999.
4838.81  -9999.    218.00     0.58    -14.36      3.86      29809.3     11.41    182.64     0.01     344.97     14.87 1  -9999.  -9999.   -76.3860    38.9801  -9999.  -9999.  -9999.
4839.81  -9999.    218.03     0.58    -14.37      3.83      29827.9     11.40    182.61     0.01     345.09     14.87 1  -9999.  -9999.   -76.3860    38.9799  -9999.  -9999.  -9999.
4840.81  -9999.    218.08     0.57    -14.36      3.80      29831.4     11.39    182.60     0.01     345.18     14.85 1  -9999.  -9999.   -76.3859    38.9798  -9999.  -9999.  -9999.
4841.81  -9999.    218.21     0.57    -14.33      3.77      29832.3     11.38    182.64     0.01     345.25     14.82 1  -9999.  -9999.   -76.3859    38.9798  -9999.  -9999.  -9999.
4842.81  -9999.    218.39     0.56    -14.29      3.75      29835.7     11.37    182.72     0.01     345.30     14.77 1  -9999.  -9999.   -76.3859    38.9797  -9999.  -9999.  -9999.
4843.81  -9999.    218.56     0.56    -14.22      3.72      29852.3     11.36    182.79     0.01     345.32     14.70 1  -9999.  -9999.   -76.3859    38.9795  -9999.  -9999.  -9999.
4844.81  -9999.    218.72     0.55    -14.14      3.71      29844.0     11.35    182.85     0.01     345.31     14.62 1  -9999.  -9999.   -76.3859    38.9794  -9999.  -9999.  -9999.
